subsidio,RSH,tiene_propiedad,tiene_subsidio,tipo_subsidio,tiene_ahorro,situacion_laboral,cedula_identidad,moneda_uf,zona_interes,monto_ahorro,ingreso_mensual,antiguedad_ahorro_meses,cant_integrante,ahorro_minimo,finalidad_subsidio,limite_renta_1,limite_renta_2,limite_renta_3,limite_renta_4,limite_rm_renta_1,limite_rm_renta_2,limite_rm_renta_3,limite_rm_renta_4,limite_renta_1_ds19,limite_renta_2_ds19,limite_renta_3_ds19,limite_renta_4_ds19,limite_rm_renta_1_ds19,limite_rm_renta_2_ds19,limite_rm_renta_3_ds19,limite_rm_renta_4_ds19
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,FALSE,0,1,"1.537.240,00",500.000,18,1,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,TRUE,0,0,"1.537.239,00",1.111.112,14,3,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,FALSE,0,1,"1.537.238,00",987.662,12,4,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,41-60,FALSE,FALSE,subsidios_habitacionales,1,TRUE,FALSE,0,0,"1.537.237,00",1.500.002,31,2,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,FALSE,0,1,"1.537.236,00",500.033,25,4,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,TRUE,0,0,"1.537.235,00",1.234.580,13,4,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,TRUE,0,1,"1.537.234,00",987.675,20,3,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,41-60,FALSE,FALSE,subsidios_habitacionales,1,TRUE,FALSE,0,0,"1.537.233,00",1.357.933,16,2,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,FALSE,0,1,"1.537.232,00",654.341,12,4,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,41-60,FALSE,FALSE,subsidios_habitacionales,1,TRUE,FALSE,0,0,"1.537.231,00",987.659,18,4,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,FALSE,0,1,"1.537.230,00",987.686,17,4,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,TRUE,0,0,"1.537.229,00",1.111.136,41,3,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,TRUE,0,1,"1.537.228,00",987.667,55,2,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,FALSE,0,0,"1.537.227,00",1.234.577,17,4,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,41-60,FALSE,FALSE,subsidios_habitacionales,1,TRUE,FALSE,0,1,"1.537.226,00",1.234.574,55,4,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,TRUE,0,0,"1.537.225,00",1.999.972,16,2,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds1 - tramo 1,0-40,FALSE,FALSE,subsidios_habitacionales,1,TRUE,TRUE,0,1,"1.537.224,00",1.999.966,20,2,30,vivienda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
